Equipo;Fecha;Bloque;Ciclo;Hi;Hf;DMOV_CARGA_MEDIDA;N_Pinzadas;N_Trozas;Producto;Vol_i;VOL_TOT;TVVSC;TVVSL;TMOVCARGA;TPINZADA;TVCL;TVCSC;TDESCARGA;TPARADA;TRETORNO;DVVSC;DVVSL;DMOVCARGA;DPINZADA;DVCL;DVCSC;DDESCARGA;DPARADA;DRETORNO;TAE;Conc_trozas;Estado Verificacion;Comentario;Eficiencia;PEF;DE;DT_GIS;DM_GIS;DE_PL;fcd;pendiente
JD 1510;2/12/2016;indufor;8;14:41:48;15:29:03;;46;252;8 pie;0.0917;23.1084;22;226;96;927;161;19;684;701;;17.60258845;230.5740977;103;;153.2074447;28.67624936;;;;2135;0.224353398;;;0.752820874;38.96498361;318.0301901;;;351;0.906068918;
JD 1510;2/12/2016;indufor;9;15:29:04;16:14:21;;41;225;8 pie;0.0917;20.6325;26;244;42;740;160;17;755;734;;29.41035358;274.5804847;88;;173.5563266;26.42615307;;;;1984;0.234460227;;;0.729948492;37.43800403;339.986659;;;351;0.96862296;
JD 1510;2/12/2016;indufor;10;16:14:21;17:03:14;;40;232;8 pie;0.0917;21.2744;10;297;151;775;208;61;706;725;;9.48142786;310.2130655;110;;214.7442808;58.92948732;;;;2208;0.193403636;;;0.75281282;34.68652174;406.6841307;;;351;1.158644247;
JD 1510;2/12/2016;indufor;11;17:03:14;18:02:03;;46;250;8 pie;0.0917;22.925;36;701;224;893;639;21;612;403;;22.18610889;760.7478228;111;;649.7997662;38.25933995;;;;3126;0.206531532;;;0.885803344;26.40115163;846.4965189;;;351;2.411670994;
JD 1510;17/7/2019;interamericana;1;;;;39;160;12 pie;0.14;22.4;108;231;195;693;51;156;645;;;205.5529239;235.9670927;59.72931406;;66.26572414;218.9460994;;;;2079;0.375025234;;;1;38.78787879;423.0952342;;;237;1.785211959;
JD 1510;17/7/2019;interamericana;2;;;;29;134;12 pie;0.14;18.76;153;33;303;528;69;207;495;249;;243.469422;52.9961162;102.9680044;;66.08054395;270.7492974;;;;1788;0.182192518;;;0.877761414;37.77181208;419.6156941;;;237;1.770530355;
JD 1510;17/7/2019;interamericana;3;;;;36;133;12 pie;0.14;18.62;144;138;267;552;168;243;564;588;;266.1684743;109.3299715;57.40954285;;236.1740263;272.3706526;;;;2076;0.324336322;;;0.779279279;32.28901734;499.4311052;;;237;2.107304241;
JD 1510;17/7/2019;interamericana;4;;;;41;161;12 pie;0.14;22.54;144;;246;675;78;159;618;132;;274.3662432;;51.65465515;;98.22696321;278.8180413;;;;1920;0.43635951;;;0.935672515;42.2625;514.5434006;;;237;2.171069201;
JD 1510;17/7/2019;interamericana;5;;;;40;148;12 pie;0.14;20.72;312;84;273;597;159;138;477;744;;293.2988672;123.1459309;39.59521065;;223.4015065;277.2840645;;;;2040;0.523295612;;;0.732758621;36.56470588;498.1603951;;;237;2.101942596;
JD 1510;17/7/2019;interamericana;6;;;;34;136;12 pie;0.14;19.04;12;;279;594;102;204;627;585;;5.608800765;;72.6091184;;102.7324372;318.1486416;;;;1818;0.262226018;;;0.756554307;37.7029703;288.6584586;;;237;1.21796818;
